~id,first_name,last_name,account_number,pg,component,value,created,amount,name,isFraud:bool,~label
account-2199023260149,Artur,Juric,0002-1990-2326-0149,,,,,,,,Account
account-2199023262021,Huong,Le,0002-1990-2326-2021,,,,,,,,Account
account-2199023264241,Chen,Zhang,0002-1990-2326-4241,,,,,,,,Account
account-2199023265107,Mario,Leone,0002-1990-2326-5107,,,,,,,,Account
account-4398046511870,Jun,Wang,0004-3980-4651-1870,0.003344482,2,,,,,,Account
account-4398046513209,Hideki,Yamada,0004-3980-4651-3209,,,,,,,,Account
account-4398046515291,Charles,Ambane,0004-3980-4651-5291,,,,,,,,Account
account-4398046517793,Daniela,Karembeu,0004-3980-4651-7793,,,,,,,,Account
account-4398046518021,Evgeny,Hleb,0004-3980-4651-8021,,,,,,,,Account
account-28587302330388,Ching,Thanh,0028-5873-0233-0388,0.003344482,3,,,,,,Account
account-28587302332178,Ahmad Rafiq,Thielsch,0028-5873-0233-2178,,,,,,,,Account
account-28587302332688,Lars,Svensson,0028-5873-0233-2688,,,,,,,,Account
account-28587302332899,James,Williams,0028-5873-0233-2899,,,,,,,,Account
account-30786325580358,Nora,Arce,0030-7863-2558-0358,,,,,,,,Account
account-30786325581635,Francisco,Elizalde,0030-7863-2558-1635,0.003344482,4,,,,,,Account
account-30786325581812,Bingbing,Zhang,0030-7863-2558-1812,0.003344482,5,,,,,,Account
account-30786325585081,Ismail Omar,Mula,0030-7863-2558-5081,0.003344482,6,,,,,,Account
account-30786325586109,Jose,Cortez,0030-7863-2558-6109,,,,,,,,Account
account-30786325586916,Jack,Fox,0030-7863-2558-6916,0.003344482,7,,,,,,Account
account-21990232565039,James,Williams,0021-9902-3256-5039,,,,,,,,Account
account-21990232565098,Sandor,Kiss,0021-9902-3256-5098,,,,,,,,Account
account-21990232566008,Walter,Fischer,0021-9902-3256-6008,0.003344482,8,,,,,,Account
account-24189255816107,Aharon,Ben Dhifallah,0024-1892-5581-6107,,,,,,,,Account
account-24189255816493,Richard,Smith,0024-1892-5581-6493,,,,,,,,Account
account-24189255817648,Chuon,Pot,0024-1892-5581-7648,,,,,,,,Account
account-24189255818301,Jie,Zhao,0024-1892-5581-8301,,,,,,,,Account
account-24189255819267,Istvan,Elek,0024-1892-5581-9267,,,,,,,,Account
account-26388279068731,Yang,Yang,0026-3882-7906-8731,0.003344482,9,,,,,,Account
account-26388279070700,Peter,Burns,0026-3882-7907-0700,,,,,,,,Account
account-17592186046185,Baruch,Bahaina,0017-5921-8604-6185,,,,,,,,Account
account-17592186046758,Hoang Yen,Duc,0017-5921-8604-6758,0.003344482,10,,,,,,Account
account-17592186046830,Vanessa,Rodriguez,0017-5921-8604-6830,0.003344482,11,,,,,,Account
account-17592186047319,Peng,Li,0017-5921-8604-7319,,,,,,,,Account
account-17592186047743,Javad,Karimi,0017-5921-8604-7743,,,,,,,,Account
account-17592186048493,George,Anderson,0017-5921-8604-8493,,,,,,,,Account
account-17592186049298,Anson,Xu,0017-5921-8604-9298,,,,,,,,Account
account-17592186049484,Akira,Mori,0017-5921-8604-9484,,,,,,,,Account
account-17592186052888,Charles,Collins,0017-5921-8605-2888,,,,,,,,Account
account-17592186054401,Sergio,Rodriguez,0017-5921-8605-4401,,,,,,,,Account
account-8796093029412,Jun,Zhu,0008-7960-9302-9412,,,,,,,,Account
account-8796093030006,Francis,Santos,0008-7960-9303-0006,,,,,,,,Account
account-10995116281374,Jun,Li,0010-9951-1628-1374,,,,,,,,Account
account-10995116281717,Antonio,Aguirre,0010-9951-1628-1717,0.003344482,12,,,,,,Account
account-10995116286015,Franz,Muller,0010-9951-1628-6015,,,,,,,,Account
account-13194139533332,Yahya Ould Ahmed El,Abdallahi,0013-1941-3953-3332,,,,,,,,Account
account-13194139533589,Ahmad,Mahmoud,0013-1941-3953-3589,,,,,,,,Account
account-13194139535371,Esti,Bahaina,0013-1941-3953-5371,,,,,,,,Account
account-13194139536738,Carlos,Gonzalez,0013-1941-3953-6738,,,,,,,,Account
account-13194139538890,Cesar,Do,0013-1941-3953-8890,0.003344482,13,,,,,,Account
account-2199023256530,Pol,Dara,0002-1990-2325-6530,,,,,,,,Account
account-2199023258280,Macky,Mendy,0002-1990-2325-8280,,,,,,,,Account
account-2199023259063,Rahim,Qaderi,0002-1990-2325-9063,,,,,,,,Account
account-2199023260929,Michael,Smith,0002-1990-2326-0929,,,,,,,,Account
account-2199023261235,Ahsan,Malik,0002-1990-2326-1235,,,,,,,,Account
account-2199023266303,Peng,Wang,0002-1990-2326-6303,,,,,,,,Account
account-4398046511535,Ali,Lambo,0004-3980-4651-1535,0.003344482,14,,,,,,Account
account-4398046512826,Bingbing,Liu,0004-3980-4651-2826,,,,,,,,Account
account-4398046515161,Cheng,Wang,0004-3980-4651-5161,,,,,,,,Account
account-4398046516395,Abdul Rahman,Anwar,0004-3980-4651-6395,,,,,,,,Account
account-28587302326294,Huu,Ho,0028-5873-0232-6294,,,,,,,,Account
account-28587302327096,Yang,Li,0028-5873-0232-7096,,,,,,,,Account
account-28587302327630,Zbigniew,Żuławski,0028-5873-0232-7630,0.003344482,15,,,,,,Account
account-28587302328299,Seung-Hoon,Kang,0028-5873-0232-8299,,,,,,,,Account
account-28587302330023,Norodom,Chau,0028-5873-0233-0023,,,,,,,,Account
account-28587302330153,Jim,Adams,0028-5873-0233-0153,,,,,,,,Account
account-30786325579545,Javier,Sánchez,0030-7863-2557-9545,,,,,,,,Account
account-30786325581842,Cleopa,Adhia,0030-7863-2558-1842,,,,,,,,Account
account-30786325584666,Andriy,Abrikosov,0030-7863-2558-4666,,,,,,,,Account
account-32985348833679,Min-Jung,Park,0032-9853-4883-3679,0.003344482,16,,,,,,Account
account-15393162799285,Abdelhameed,Mahmoud,0015-3931-6279-9285,0.003344482,17,,,,,,Account
account-17592186044532,Yang,Li,0017-5921-8604-4532,0.003344482,18,,,,,,Account
account-17592186044568,Li,Zhang,0017-5921-8604-4568,0.003344482,19,,,,,,Account
account-17592186045583,Nicolae,David,0017-5921-8604-5583,,,,,,,,Account
account-17592186047267,Ali,Hosseini,0017-5921-8604-7267,,,,,,,,Account
account-17592186047327,Paulo,Souza,0017-5921-8604-7327,,,,,,,,Account
account-17592186047602,Michael,Basov,0017-5921-8604-7602,0.003344482,20,,,,,,Account
account-17592186049335,Li,Liu,0017-5921-8604-9335,,,,,,,,Account
account-17592186052400,Alfredo,Alvarez,0017-5921-8605-2400,,,,,,,,Account
account-17592186053317,Kamal,Koirala,0017-5921-8605-3317,,,,,,,,Account
account-10995116281629,Lei,Liu,0010-9951-1628-1629,,,,,,,,Account
account-10995116285532,Thomas,Muller,0010-9951-1628-5532,,,,,,,,Account
account-10995116286901,Yang,Xu,0010-9951-1628-6901,,,,,,,,Account
account-10995116288020,Antonio,Alonso,0010-9951-1628-8020,,,,,,,,Account
account-13194139533648,Jun,Wang,0013-1941-3953-3648,,,,,,,,Account
account-13194139533912,Martin,Muller,0013-1941-3953-3912,,,,,,,,Account
account-13194139534520,Rafael,Santos,0013-1941-3953-4520,0.003344482,21,,,,,,Account
account-13194139538191,Imran,Butt,0013-1941-3953-8191,0.003344482,22,,,,,,Account
account-13194139538623,Amrozi Bin,Budjana,0013-1941-3953-8623,,,,,,,,Account
account-13194139538794,David,Kawawa,0013-1941-3953-8794,,,,,,,,Account
feature-anastasia2199023265900@gmail.com,,,,,,Anastasia2199023265900@gmail.com,,,,,EmailAddress
feature-tamas4398046517338@gmail.com,,,,,,Tamas4398046517338@gmail.com,,,,,EmailAddress
feature-tamas4398046517338@yahoo.com,,,,,,Tamas4398046517338@yahoo.com,,,,,EmailAddress
feature-juan4398046517694@gmail.com,,,,,,Juan4398046517694@gmail.com,,,,,EmailAddress
feature-juan4398046517694@gmx.com,,,,,,Juan4398046517694@gmx.com,,,,,EmailAddress
feature-ali21990232557481@gmail.com,,,,,,Ali21990232557481@gmail.com,,,,,EmailAddress
feature-ali21990232557481@zoho.com,,,,,,Ali21990232557481@zoho.com,,,,,EmailAddress
feature-ian21990232559223@gmail.com,,,,,,Ian21990232559223@gmail.com,,,,,EmailAddress
feature-ian21990232559223@yahoo.com,,,,,,Ian21990232559223@yahoo.com,,,,,EmailAddress
feature-andre21990232561211@gmail.com,,,,,,Andre21990232561211@gmail.com,,,,,EmailAddress
feature-andre21990232561211@gmx.com,,,,,,Andre21990232561211@gmx.com,,,,,EmailAddress
feature-ernst21990232562816@gmail.com,,,,,,Ernst21990232562816@gmail.com,,,,,EmailAddress
feature-james21990232565039@gmail.com,,,,,,James21990232565039@gmail.com,,,,,EmailAddress
feature-sandor21990232565098@gmail.com,,,,,,Sandor21990232565098@gmail.com,,,,,EmailAddress
feature-sandor21990232565098@yahoo.com,,,,,,Sandor21990232565098@yahoo.com,,,,,EmailAddress
feature-jae-jin4398046513754@yahoo.com,,,,,,Jae-Jin4398046513754@yahoo.com,,,,,EmailAddress
feature-jae-jin4398046513754@zoho.com,,,,,,Jae-Jin4398046513754@zoho.com,,,,,EmailAddress
feature-ab4398046516633@gmx.com,,,,,,Ab4398046516633@gmx.com,,,,,EmailAddress
feature-ab4398046516633@hotmail.com,,,,,,Ab4398046516633@hotmail.com,,,,,EmailAddress
feature-ab4398046516633@zoho.com,,,,,,Ab4398046516633@zoho.com,,,,,EmailAddress
feature-basanta4398046519349@gmail.com,,,,,,Basanta4398046519349@gmail.com,,,,,EmailAddress
feature-basanta4398046519349@gmx.com,,,,,,Basanta4398046519349@gmx.com,,,,,EmailAddress
feature-basanta4398046519349@zoho.com,,,,,,Basanta4398046519349@zoho.com,,,,,EmailAddress
feature-roberto4398046519481@yahoo.com,,,,,,Roberto4398046519481@yahoo.com,,,,,EmailAddress
feature-camilo4398046519887@gmail.com,,,,,,Camilo4398046519887@gmail.com,,,,,EmailAddress
feature-cesar19791209310755@hotmail.com,,,,,,Cesar19791209310755@hotmail.com,,,,,EmailAddress
feature-cesar19791209310755@yahoo.com,,,,,,Cesar19791209310755@yahoo.com,,,,,EmailAddress
feature-matthew21990232559951@gmail.com,,,,,,Matthew21990232559951@gmail.com,,,,,EmailAddress
feature-matthew21990232559951@yahoo.com,,,,,,Matthew21990232559951@yahoo.com,,,,,EmailAddress
feature-jose24189255811398@4-music-today.com,,,,,,Jose24189255811398@4-music-today.com,,,,,EmailAddress
feature-jose24189255811398@gmail.com,,,,,,Jose24189255811398@gmail.com,,,,,EmailAddress
feature-jose24189255811398@gmx.com,,,,,,Jose24189255811398@gmx.com,,,,,EmailAddress
feature-jose24189255811398@rockeros.com,,,,,,Jose24189255811398@rockeros.com,,,,,EmailAddress
feature-jose24189255811398@yahoo.com,,,,,,Jose24189255811398@yahoo.com,,,,,EmailAddress
feature-haim24189255813494@gmail.com,,,,,,Haim24189255813494@gmail.com,,,,,EmailAddress
feature-wilson4398046512636@zoho.com,,,,,,Wilson4398046512636@zoho.com,,,,,EmailAddress
feature-hideki4398046518837@gmx.com,,,,,,Hideki4398046518837@gmx.com,,,,,EmailAddress
feature-hideki4398046518837@hotmail.com,,,,,,Hideki4398046518837@hotmail.com,,,,,EmailAddress
feature-hideki4398046518837@yahoo.com,,,,,,Hideki4398046518837@yahoo.com,,,,,EmailAddress
feature-fernanda4398046519955@gmail.com,,,,,,Fernanda4398046519955@gmail.com,,,,,EmailAddress
feature-fernanda4398046519955@gmx.com,,,,,,Fernanda4398046519955@gmx.com,,,,,EmailAddress
feature-anh6597069767625@gmx.com,,,,,,Anh6597069767625@gmx.com,,,,,EmailAddress
feature-anh6597069767625@yahoo.com,,,,,,Anh6597069767625@yahoo.com,,,,,EmailAddress
feature-anh6597069767625@zoho.com,,,,,,Anh6597069767625@zoho.com,,,,,EmailAddress
feature-asha-rose.mtengeti6597069769535@gmail.com,,,,,,Asha-Rose.Mtengeti6597069769535@gmail.com,,,,,EmailAddress
feature-victor24189255811694@hotmail.com,,,,,,Victor24189255811694@hotmail.com,,,,,EmailAddress
feature-carlos24189255812103@yours.com,,,,,,Carlos24189255812103@yours.com,,,,,EmailAddress
feature-georgios24189255813658@gmail.com,,,,,,Georgios24189255813658@gmail.com,,,,,EmailAddress
feature-georgios24189255813658@yahoo.com,,,,,,Georgios24189255813658@yahoo.com,,,,,EmailAddress
feature-marc24189255818166@gmail.com,,,,,,Marc24189255818166@gmail.com,,,,,EmailAddress
feature-marc24189255818166@gmx.com,,,,,,Marc24189255818166@gmx.com,,,,,EmailAddress
feature-marc24189255818166@hotmail.com,,,,,,Marc24189255818166@hotmail.com,,,,,EmailAddress
feature-alfina24189255819940@gmail.com,,,,,,Alfina24189255819940@gmail.com,,,,,EmailAddress
feature-alfina24189255819940@gmx.com,,,,,,Alfina24189255819940@gmx.com,,,,,EmailAddress
feature-jean-pierre26388279068740@gmail.com,,,,,,Jean-Pierre26388279068740@gmail.com,,,,,EmailAddress
feature-abdul.rahman4398046516395@bmx.lv,,,,,,Abdul.Rahman4398046516395@bmx.lv,,,,,EmailAddress
feature-abdul.rahman4398046516395@gmail.com,,,,,,Abdul.Rahman4398046516395@gmail.com,,,,,EmailAddress
feature-hao4398046517240@gmx.com,,,,,,Hao4398046517240@gmx.com,,,,,EmailAddress
feature-chito6597069768287@gmail.com,,,,,,Chito6597069768287@gmail.com,,,,,EmailAddress
feature-chito6597069768287@zoho.com,,,,,,Chito6597069768287@zoho.com,,,,,EmailAddress
feature-ning6597069772822@gmx.com,,,,,,Ning6597069772822@gmx.com,,,,,EmailAddress
feature-ali6597069773166@gmail.com,,,,,,Ali6597069773166@gmail.com,,,,,EmailAddress
feature-ali6597069773166@gmx.com,,,,,,Ali6597069773166@gmx.com,,,,,EmailAddress
feature-yang8796093024884@gmx.com,,,,,,Yang8796093024884@gmx.com,,,,,EmailAddress
feature-diego8796093026188@gmail.com,,,,,,Diego8796093026188@gmail.com,,,,,EmailAddress
feature-antonio17592186048352@yahoo.com,,,,,,Antonio17592186048352@yahoo.com,,,,,EmailAddress
feature-bingyi17592186049726@gmail.com,,,,,,Bingyi17592186049726@gmail.com,,,,,EmailAddress
feature-bingyi17592186049726@yahoo.com,,,,,,Bingyi17592186049726@yahoo.com,,,,,EmailAddress
feature-francis17592186052685@gmx.com,,,,,,Francis17592186052685@gmx.com,,,,,EmailAddress
feature-francis17592186052685@yahoo.com,,,,,,Francis17592186052685@yahoo.com,,,,,EmailAddress
feature-haile17592186053162@yahoo.com,,,,,,Haile17592186053162@yahoo.com,,,,,EmailAddress
feature-jie17592186053700@gmail.com,,,,,,Jie17592186053700@gmail.com,,,,,EmailAddress
feature-jie17592186053700@yahoo.com,,,,,,Jie17592186053700@yahoo.com,,,,,EmailAddress
feature-jie17592186053700@zoho.com,,,,,,Jie17592186053700@zoho.com,,,,,EmailAddress
feature-zhi17592186054028@gmail.com,,,,,,Zhi17592186054028@gmail.com,,,,,EmailAddress
feature-a.32985348838997@gmail.com,,,,,,A.32985348838997@gmail.com,,,,,EmailAddress
feature-a.32985348838997@gmx.com,,,,,,A.32985348838997@gmx.com,,,,,EmailAddress
feature-a.32985348838997@yahoo.com,,,,,,A.32985348838997@yahoo.com,,,,,EmailAddress
feature-m32985348839311@gmail.com,,,,,,M32985348839311@gmail.com,,,,,EmailAddress
feature-m32985348839311@yahoo.com,,,,,,M32985348839311@yahoo.com,,,,,EmailAddress
feature-georgios32985348839614@gmail.com,,,,,,Georgios32985348839614@gmail.com,,,,,EmailAddress
feature-arturo32985348839686@gmail.com,,,,,,Arturo32985348839686@gmail.com,,,,,EmailAddress
feature-arturo32985348839686@yahoo.com,,,,,,Arturo32985348839686@yahoo.com,,,,,EmailAddress
feature-john32985348839976@boarderzone.com,,,,,,John32985348839976@boarderzone.com,,,,,EmailAddress
feature-john32985348839976@gmail.com,,,,,,John32985348839976@gmail.com,,,,,EmailAddress
feature-walter10995116282386@gmail.com,,,,,,Walter10995116282386@gmail.com,,,,,EmailAddress
feature-walter10995116282386@gmx.com,,,,,,Walter10995116282386@gmx.com,,,,,EmailAddress
feature-alyaksey10995116285266@gmail.com,,,,,,Alyaksey10995116285266@gmail.com,,,,,EmailAddress
feature-ching10995116285903@gmail.com,,,,,,Ching10995116285903@gmail.com,,,,,EmailAddress
feature-prakash10995116288030@gmail.com,,,,,,Prakash10995116288030@gmail.com,,,,,EmailAddress
feature-prakash10995116288030@gmx.com,,,,,,Prakash10995116288030@gmx.com,,,,,EmailAddress
feature-shigeru10995116288126@gmail.com,,,,,,Shigeru10995116288126@gmail.com,,,,,EmailAddress
feature-shigeru10995116288126@gmx.com,,,,,,Shigeru10995116288126@gmx.com,,,,,EmailAddress
feature-shigeru10995116288126@yahoo.com,,,,,,Shigeru10995116288126@yahoo.com,,,,,EmailAddress
feature-evgeny13194139535313@gmx.com,,,,,,Evgeny13194139535313@gmx.com,,,,,EmailAddress
feature-paul28587302325064@gmail.com,,,,,,Paul28587302325064@gmail.com,,,,,EmailAddress
feature-paul28587302325064@gmx.com,,,,,,Paul28587302325064@gmx.com,,,,,EmailAddress
feature-paul28587302325064@yahoo.com,,,,,,Paul28587302325064@yahoo.com,,,,,EmailAddress
feature-angel28587302326364@gmx.com,,,,,,Angel28587302326364@gmx.com,,,,,EmailAddress
feature-angel28587302326364@yahoo.com,,,,,,Angel28587302326364@yahoo.com,,,,,EmailAddress
"feature-fuyu, 002",,,,,,"Fuyu, 002",,,,,Address
"feature-cenxi, 001",,,,,,"Cenxi, 001",,,,,Address
"feature-xinxiang, 002",,,,,,"Xinxiang, 002",,,,,Address
"feature-tula, 002",,,,,,"Tula, 002",,,,,Address
"feature-joão_monlevade, 002",,,,,,"João_Monlevade, 002",,,,,Address
"feature-amparafaravola, 002",,,,,,"Amparafaravola, 002",,,,,Address
"feature-fuyang,, 003",,,,,,"Fuyang,, 003",,,,,Address
"feature-chingola, 001",,,,,,"Chingola, 001",,,,,Address
"feature-tianjin, 001",,,,,,"Tianjin, 001",,,,,Address
"feature-niamey, 001",,,,,,"Niamey, 001",,,,,Address
"feature-daqing, 001",,,,,,"Daqing, 001",,,,,Address
"feature-akita_city, 003",,,,,,"Akita_City, 003",,,,,Address
"feature-baffoussam, 001",,,,,,"Baffoussam, 001",,,,,Address
"feature-zagreb, 002",,,,,,"Zagreb, 002",,,,,Address
"feature-shenyang, 002",,,,,,"Shenyang, 002",,,,,Address
"feature-murmansk, 001",,,,,,"Murmansk, 001",,,,,Address
"feature-anshan, 002",,,,,,"Anshan, 002",,,,,Address
"feature-gorno-altaysk, 003",,,,,,"Gorno-Altaysk, 003",,,,,Address
"feature-sfax, 001",,,,,,"Sfax, 001",,,,,Address
"feature-tuyên_quang, 003",,,,,,"Tuyên_Quang, 003",,,,,Address
"feature-weimar, 001",,,,,,"Weimar, 001",,,,,Address
"feature-gaoyao, 002",,,,,,"Gaoyao, 002",,,,,Address
"feature-siem_reap, 002",,,,,,"Siem_Reap, 002",,,,,Address
"feature-badung_regency, 003",,,,,,"Badung_Regency, 003",,,,,Address
"feature-visonta, 002",,,,,,"Visonta, 002",,,,,Address
"feature-querétaro, 002",,,,,,"Querétaro, 002",,,,,Address
"feature-qingdao, 001",,,,,,"Qingdao, 001",,,,,Address
"feature-nan'an_district, 001",,,,,,"Nan'an_District, 001",,,,,Address
"feature-beijing, 003",,,,,,"Beijing, 003",,,,,Address
"feature-daye, 003",,,,,,"Daye, 003",,,,,Address
"feature-ottawa, 003",,,,,,"Ottawa, 003",,,,,Address
"feature-campo_grande, 002",,,,,,"Campo_Grande, 002",,,,,Address
